PhotoID,Individual ID,Pop,H2S,Cave,SL,logMass,logSL,Palp SA,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,aX1,aY1,aX2,aY2,aX3,aY3,aX4,aY4,aX5,aY5,aX6,aY6,aX7,aY7,aX8,aY8,aX9,aY9,aX10,aY10,aX11,aY11,aX12,aY12,aX13,aY13,aX14,aY14,aX15,aY15,aX16,aY16,aX17,aY17,aX18,aY18,aX19,aY19,aX20,aY20,aX21,aY21,aX22,aY22,aX23,aY23,aX24,aY24,aX25,aY25,aX26,aY26,aX27,aY27,aX28,aY28,aX29,aY29
Specimen 72,Luna7,Luna,Nonsulfidic,Cave,21,-0.958607315,1.322219295,0.550338783,79.0238837,74.8701973,100,62.82450675,120.2492212,49.32502596,136.8639668,29.90654206,146.4174455,21.59916926,145.0674974,23.46832814,142.2637591,29.2834891,152.4402908,8.307372793,138.317757,16.51090343,132.2949117,11.63032191,134.6832814,17.34164071,129.1796469,12.25337487,127.1028037,12.56490135,103.7383178,19.83385254,81.82762201,30.63343718,57.42471443,36.86396677,68.22429907,55.9709242,126.4797508,28.34890966,128.0373832,31.36033229,122.9491173,35.92938733,122.1183801,30.63343718,123.1568017,34.16407061,116.7185877,40.80996885,116.5109034,33.54101765,117.3416407,35.92938733,112.2533749,42.47144341,110.0726895,35.92938733,111.6303219,38.94080997,107.165109,45.69055036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specimen 71,Luna6,Luna,Nonsulfidic,Cave,22,-0.886056648,1.342422681,0.599108891,97.71547248,112.98027,119.9376947,100.9345794,139.7715472,85.35825545,156.1786085,64.48598131,164.5898235,56.07476636,163.5514019,58.87850467,161.2668744,65.10903427,170.9241952,41.01765317,157.2170301,48.39044652,153.4787124,44.0290758,154.7248183,49.7403946,148.8058152,44.23676012,142.9906542,44.85981308,118.8992731,54.10176532,95.53478712,64.07061267,72.2741433,74.76635514,86.81204569,96.67705088,149.5327103,61.26687435,150.8826584,63.65524403,147.4558671,68.95119418,145.1713396,64.07061267,146.5212876,66.66666667,141.4330218,73.52024922,140.1869159,66.77050883,141.4330218,69.47040498,137.4870197,76.9470405,134.9948079,69.47040498,135.8255452,71.96261682,132.6064382,80.37383178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specimen 74,Luna9,Luna,Nonsulfidic,Cave,22,-0.823908741,1.342422681,0.445625408,89.20041537,77.36240914,110.6957425,67.28971963,131.5680166,56.28245067,149.7403946,38.94080997,159.086189,31.04880582,158.0477674,33.43717549,156.3862928,38.21391485,166.251298,18.38006231,151.1941848,24.81827622,148.8058152,19.31464174,147.8712357,25.33748702,143.8213915,18.69158879,140.3946002,18.8992731,116.0955348,23.88369678,93.04257529,29.17964694,68.43198339,33.74870197,80.37383178,58.46313603,142.7829699,35.09865005,144.2367601,37.79854621,139.0446521,43.40602285,138.317757,37.07165109,139.4600208,40.39460021,134.0602285,46.31360332,133.2294912,39.46002077,134.2679128,42.26375909,128.2450675,49.84423676,127.6220145,41.12149533,128.4527518,44.13291796,124.4029076,51.60955348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specimen 80,Luna15,Luna,Nonsulfidic,Cave,22,-0.823908741,1.342422681,1.325923553,78.19314642,79.0238837,103.9460021,69.26272066,129.6988577,59.08618899,152.6479751,41.43302181,164.4859813,32.19106957,163.5514019,34.16407061,159.9169263,39.35617861,174.2471443,20.35306334,156.490135,24.6105919,152.0249221,19.00311526,153.3748702,24.92211838,147.3520249,18.48390447,144.132918,18.48390447,116.5109034,22.63759086,89.09657321,29.2834891,61.99376947,35.41017653,70.50882658,58.46313603,146.8328141,35.51401869,147.7673936,38.31775701,141.2253375,43.92523364,141.7445483,37.07165109,142.1599169,40.70612669,137.2793354,45.5867082,136.2409138,38.62928349,136.6562825,41.64070613,132.0872274,47.97507788,130.4257529,39.77154725,131.2564901,42.88681205,126.3759086,50.2596054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specimen 75,Luna10,Luna,Nonsulfidic,Cave,22,-0.769551079,1.342422681,0.803464202,75.28556594,76.32398754,95.63862928,65.93977155,114.5379024,53.894081,130.1142264,35.51401869,138.5254413,26.89511942,137.7985462,28.86812046,134.9948079,34.16407061,144.0290758,14.43406023,131.4641745,21.28764278,127.6220145,17.03011423,129.4911734,22.84527518,124.7144341,17.65316719,120.0415369,18.17237799,98.33852544,24.81827622,76.9470405,32.91796469,55.55555556,41.22533749,65.21287643,58.25545171,121.7030114,32.91796469,123.4683281,35.41017653,119.1069574,41.43302181,117.8608515,34.89096573,119.1069574,37.17549325,115.6801661,43.71754933,113.6033229,37.17549325,114.7455867,39.25233645,111.7341641,46.6251298,109.0342679,39.25233645,110.0726895,41.43302181,106.7497404,49.2211838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specimen 65,ElAz032,EA,Sulfidic,Surface,23,-0.744727495,1.361727836,0.625153507,116.7305236,84.41890166,137.5478927,72.15836526,160.0255428,59.5146871,178.5440613,40.86845466,189.1443167,30.26819923,187.7394636,31.80076628,186.3346105,36.27075351,196.1685824,19.79565773,180.0766284,24.39335888,176.1174968,18.3908046,177.5223499,24.39335888,172.7969349,19.15708812,167.1775223,18.90166028,142.1455939,24.5210728,118.3908046,32.31162197,94.25287356,39.8467433,106.1302682,63.98467433,172.4137931,35.63218391,173.4355045,37.4201788,168.5823755,43.03959132,168.3269476,36.90932312,168.8378033,38.82503193,164.49553,46.10472542,163.7292465,38.18646232,164.49553,40.4853129,161.1749681,47.2541507,158.4929757,40.74074074,160.1532567,42.91187739,156.0664112,50.3192848,-3.53E-01,2.00E-01,-2.03E-01,1.61E-01,-4.16E-02,1.23E-01,1.06E-01,4.12E-02,1.90E-01,-5.31E-03,1.78E-01,1.64E-03,1.62E-01,2.67E-02,2.52E-01,-5.74E-02,1.44E-01,-5.76E-02,1.31E-01,-1.02E-01,1.29E-01,-6.22E-02,1.09E-01,-1.03E-01,7.47E-02,-1.14E-01,-8.96E-02,-1.24E-01,-2.50E-01,-1.19E-01,-4.12E-01,-1.15E-01,-3.82E-01,5.49E-02,7.72E-02,-2.00E-03,8.03E-02,1.08E-02,4.04E-02,3.68E-02,4.98E-02,-1.40E-03,4.95E-02,1.13E-02,9.80E-03,4.85E-02,1.92E-02,-1.70E-03,1.98E-02,1.38E-02,-1.27E-02,4.96E-02,-1.77E-02,4.73E-03,-1.13E-02,2.11E-02,-4.96E-02,5.94E-02
Specimen 3,Cueva003,Cueva,Sulfidic,Cave,25,-0.721246399,1.397940009,0.63690357,111.4942529,90.93231162,132.311622,79.43805875,150.8301405,64.75095785,167.4329502,45.84929757,176.1174968,34.3550447,175.734355,37.16475096,174.9680715,42.01787995,181.4814815,23.49936143,168.8378033,28.8633461,166.5389527,25.54278416,165.3895275,30.01277139,162.4521073,25.67049808,154.5338442,26.69220945,131.8007663,34.48275862,109.0676884,44.82758621,87.22860792,53.76756066,100.6385696,74.8403576,163.7292465,39.33588761,164.6232439,40.99616858,161.4303959,46.87100894,159.642401,41.89016603,160.5363985,43.80587484,157.5989783,50.57471264,155.3001277,44.57215837,156.5772669,46.6155811,154.1507024,51.72413793,150.8301405,47.38186462,151.596424,49.04214559,147.7650064,57.59897829,-3.61E-01,1.82E-01,-2.04E-01,1.62E-01,-5.28E-02,1.16E-01,9.66E-02,4.00E-02,1.79E-01,-9.75E-03,1.69E-01,6.70E-03,1.53E-01,3.49E-02,2.39E-01,-6.38E-02,1.47E-01,-6.17E-02,1.41E-01,-8.80E-02,1.23E-01,-6.31E-02,1.15E-01,-9.72E-02,6.39E-02,-1.10E-01,-9.61E-02,-1.18E-01,-2.62E-01,-1.10E-01,-4.20E-01,-1.09E-01,-3.89E-01,5.50E-02,8.97E-02,-9.42E-03,9.12E-02,3.08E-03,5.69E-02,3.16E-02,5.81E-02,-3.67E-03,5.89E-02,1.04E-02,2.40E-02,4.51E-02,2.46E-02,2.24E-03,2.75E-02,1.80E-02,-1.68E-04,4.37E-02,-1.00E-02,8.62E-03,-9.36E-03,2.08E-02,-5.42E-02,6.44E-02
Specimen 66,Luna1,Luna,Nonsulfidic,Cave,25,-0.677780705,1.397940009,0.385069901,105.3639847,110.7279693,130.3959132,97.5734355,154.916986,83.39719029,175.6066411,61.81353768,186.3346105,51.08556833,184.9297573,52.7458493,182.8863346,58.8761175,194.1251596,37.16475096,180.8429119,42.91187739,177.6500639,38.44189017,177.6500639,43.80587484,174.3295019,38.18646232,163.4738186,38.82503193,134.8659004,45.72158365,107.9182631,55.04469987,81.73690932,66.2835249,94.25287356,90.1660281,168.3269476,56.70498084,169.4763729,59.89782886,166.5389527,63.47381865,163.6015326,59.25925926,165.3895275,62.45210728,160.4086845,69.60408685,159.1315453,62.45210728,159.7701149,65.38952746,155.8109834,73.05236271,153.1289911,64.87867178,154.2784163,67.94380587,150.1915709,76.62835249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specimen 77,Luna12,Luna,Nonsulfidic,Cave,25,-0.677780705,1.397940009,0.405197604,70.62579821,106.1302682,102.2988506,90.1660281,133.7164751,73.69093231,160.6641124,49.04214559,175.734355,34.48275862,174.4572158,36.90932312,169.0932312,44.06130268,184.4189017,17.87994891,166.2835249,26.05363985,160.4086845,18.90166028,162.3243934,26.94763729,155.4278416,19.28480204,145.7215837,20.05108557,111.238825,30.52362708,77.01149425,41.37931034,42.27330779,51.08556833,58.8761175,83.26947637,155.4278416,40.22988506,156.7049808,43.03959132,150.5747126,50.3192848,149.936143,42.65644955,150.9578544,46.10472542,144.5721584,56.70498084,143.8058748,45.33844189,144.6998723,48.53128991,139.7190294,57.98212005,136.5261814,47.76500639,137.8033206,51.08556833,133.844189,61.17496807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specimen 78,Luna13,Luna,Nonsulfidic,Cave,26,-0.677780705,1.414973348,0.435205872,77.67393562,85.15057113,105.815161,72.68951194,134.2679128,60.33229491,159.086189,39.87538941,173.5202492,25.54517134,172.1703011,28.14122534,168.847352,33.43717549,181.4122534,12.66874351,162.305296,18.79543094,156.5939772,12.66874351,158.2554517,19.52232606,152.5441329,12.56490135,147.1443406,12.66874351,116.6147456,19.31464174,86.08515057,27.41433022,55.14018692,34.57943925,67.70508827,62.51298027,153.5825545,31.04880582,155.2440291,34.78712357,149.7403946,39.87538941,149.0134995,32.91796469,150.1557632,35.92938733,144.5482866,42.88681205,143.509865,34.57943925,144.5482866,38.42159917,139.6677051,45.5867082,138.0062305,36.76012461,138.94081,39.56386293,133.3333333,47.97507788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
